train_loss,step,epoch,val_loss
78653.578125,1,0,
60034.4140625,3,0,
58840.48046875,5,0,
51371.54296875,7,0,
38200.19140625,9,0,
43713.5,11,0,
31511.04296875,13,0,
28717.94140625,15,0,
30147.630859375,17,0,
27723.447265625,19,0,
34918.390625,21,0,
27362.861328125,23,0,
27008.015625,25,0,
30488.3203125,27,0,
25212.4921875,29,0,
30360.390625,31,0,
24919.13671875,33,0,
27134.75,35,0,
28042.5859375,37,0,
21757.728515625,39,0,
27534.515625,41,0,
21836.091796875,43,0,
30067.333984375,45,0,
30142.140625,47,0,
19637.8203125,49,0,
20805.9921875,51,0,
24783.619140625,53,0,
26188.98046875,55,0,
22534.8359375,57,0,
17525.16796875,59,0,
25396.9375,61,0,
26050.39453125,63,0,
17831.525390625,65,0,
25636.107421875,67,0,
21527.873046875,69,0,
21936.134765625,71,0,
21680.201171875,73,0,
23301.533203125,75,0,
19550.30078125,77,0,
20630.02734375,79,0,
22871.55078125,81,0,
20034.365234375,83,0,
18864.48046875,85,0,
22033.22265625,87,0,
20672.76953125,89,0,
17034.64453125,91,0,
26871.609375,93,0,
19048.94140625,95,0,
24189.26953125,97,0,
19295.587890625,99,0,
25196.216796875,101,0,
21314.939453125,103,0,
21089.6328125,105,0,
18557.71875,107,0,
18285.712890625,109,0,
22270.3359375,111,0,
21276.8125,113,0,
20280.447265625,115,0,
16793.5390625,117,0,
19400.5078125,119,0,
23313.625,121,0,
19338.462890625,123,0,
22558.56640625,125,0,
15960.634765625,127,0,
16764.205078125,129,0,
22949.63671875,131,0,
18509.5546875,133,0,
22198.37109375,135,0,
16373.955078125,137,0,
18796.70703125,139,0,
15460.6533203125,141,0,
19987.310546875,143,0,
20561.87109375,145,0,
28412.0234375,147,0,
16897.96484375,149,0,
17371.59375,151,0,
17377.94140625,153,0,
15891.603515625,155,0,
17821.111328125,157,0,
16598.90625,159,0,
21855.328125,161,0,
14606.498046875,163,0,
24264.7265625,165,0,
14987.283203125,167,0,
25309.5234375,169,0,
28562.80859375,171,0,
20298.10546875,173,0,
19243.431640625,175,0,
18527.83203125,177,0,
20480.765625,179,0,
20197.966796875,181,0,
16731.15234375,183,0,
19935.296875,185,0,
21403.41015625,187,0,
18757.533203125,189,0,
23886.763671875,191,0,
18319.76953125,193,0,
18949.650390625,195,0,
18288.501953125,197,0,
20178.23046875,199,0,
19787.9140625,201,0,
17140.59375,203,0,
24972.29296875,205,0,
22290.07421875,207,0,
17978.740234375,209,0,
18649.9140625,211,0,
17522.232421875,213,0,
15679.4580078125,215,0,
16513.56640625,217,0,
24785.28125,219,0,
19455.962890625,221,0,
19396.52734375,223,0,
19195.62890625,225,0,
17151.18359375,227,0,
21059.1328125,229,0,
14246.26171875,231,0,
25457.25,233,0,
16339.6708984375,235,0,
25601.94140625,237,0,
18135.849609375,239,0,
17544.78515625,241,0,
17081.55859375,243,0,
15681.380859375,245,0,
18339.703125,247,0,
17105.6171875,249,0,
13525.8466796875,251,0,
17392.6640625,253,0,
17292.1328125,255,0,
13253.041015625,257,0,
16779.9765625,259,0,
20067.765625,261,0,
18676.80859375,263,0,
19090.81640625,265,0,
15028.3310546875,267,0,
15987.7861328125,269,0,
19765.1953125,271,0,
15012.740234375,273,0,
16239.970703125,275,0,
18290.46484375,277,0,
18612.21484375,279,0,
16300.3515625,281,0,
17645.74609375,283,0,
20129.900390625,285,0,
19332.681640625,287,0,
16922.15625,289,0,
18164.958984375,291,0,
20043.51171875,293,0,
15785.48828125,295,0,
15694.05078125,297,0,
17742.974609375,299,0,
18070.771484375,301,0,
14378.79296875,303,0,
13963.369140625,305,0,
13764.287109375,307,0,
13250.3125,309,0,
14537.4697265625,311,0,
12873.4853515625,313,0,
11440.9560546875,315,0,
14655.376953125,317,0,
13101.419921875,319,0,
12867.87109375,321,0,
14753.5771484375,323,0,
14408.34765625,325,0,
14808.794921875,327,0,
16193.056640625,329,0,
14290.283203125,331,0,
21406.03515625,333,0,
13275.19921875,335,0,
15205.615234375,337,0,
14044.5888671875,339,0,
12965.283203125,341,0,
12105.76171875,343,0,
12248.927734375,345,0,
13599.83203125,347,0,
14849.02734375,349,0,
12705.7275390625,351,0,
12840.453125,353,0,
14757.34765625,355,0,
14202.3203125,357,0,
11932.9453125,359,0,
11861.724609375,361,0,
15687.7294921875,363,0,
14284.466796875,365,0,
14450.5986328125,367,0,
12051.19140625,369,0,
13149.74609375,371,0,
11644.771484375,373,0,
14202.033203125,375,0,
13441.9765625,377,0,
14921.9423828125,379,0,
10855.6552734375,381,0,
11763.51953125,383,0,
13748.4453125,385,0,
12853.587890625,387,0,
11747.8564453125,389,0,
9374.03125,391,0,
12369.6484375,393,0,
16831.94140625,395,0,
11090.923828125,397,0,
12479.375,399,0,
18538.49609375,401,0,
12341.396484375,403,0,
12420.484375,405,0,
13631.1845703125,407,0,
11452.5244140625,409,0,
10010.115234375,411,0,
18733.201171875,413,0,
11844.14453125,415,0,
11389.0146484375,417,0,
8767.642578125,419,0,
12419.615234375,421,0,
11702.0419921875,423,0,
11203.01953125,425,0,
12156.6171875,427,0,
11386.693359375,429,0,
12578.275390625,431,0,
11478.3173828125,433,0,
9610.9453125,435,0,
10067.8779296875,437,0,
19109.328125,439,0,
12249.810546875,441,0,
9674.931640625,443,0,
10152.748046875,445,0,
10785.404296875,447,0,
11402.576171875,449,0,
12282.228515625,451,0,
11748.5107421875,453,0,
10325.888671875,455,0,
10390.0146484375,457,0,
8967.9970703125,459,0,
10449.767578125,461,0,
9244.44921875,463,0,
9339.7099609375,465,0,
9171.0751953125,467,0,
9374.30078125,469,0,
16021.2958984375,471,0,
9879.36328125,473,0,
10566.1240234375,475,0,
10311.8408203125,477,0,
11933.435546875,479,0,
11155.494140625,481,0,
9425.80859375,483,0,
15743.97265625,485,0,
10279.9384765625,487,0,
10170.400390625,489,0,
13682.2646484375,491,0,
13027.8359375,493,0,
9959.2568359375,495,0,
10717.30078125,497,0,
15563.392578125,499,0,
9647.08203125,501,0,
11410.8974609375,503,0,
11952.4921875,505,0,
11261.8408203125,507,0,
11366.095703125,509,0,
9615.833984375,511,0,
