train_loss,step,epoch,val_loss
67150.390625,1,0,
55618.36328125,3,0,
43786.49609375,5,0,
36845.21875,7,0,
36172.8046875,9,0,
38376.34375,11,0,
37721.8984375,13,0,
38380.9453125,15,0,
31251.90625,17,0,
27338.9921875,19,0,
27998.291015625,21,0,
28952.91015625,23,0,
28849.2265625,25,0,
27222.421875,27,0,
23131.74609375,29,0,
25161.2890625,31,0,
29741.705078125,33,0,
25383.921875,35,0,
23441.203125,37,0,
26695.3203125,39,0,
26432.37109375,41,0,
24703.40625,43,0,
22414.93359375,45,0,
20918.40625,47,0,
22570.693359375,49,0,
26575.2421875,51,0,
23272.509765625,53,0,
22082.78125,55,0,
25606.89453125,57,0,
22597.74609375,59,0,
18648.052734375,61,0,
24117.90234375,63,0,
24297.654296875,65,0,
25225.484375,67,0,
22149.27734375,69,0,
23980.9609375,71,0,
22064.21484375,73,0,
19685.88671875,75,0,
22214.7109375,77,0,
22585.052734375,79,0,
23828.625,81,0,
24552.58203125,83,0,
22726.2421875,85,0,
21282.7734375,87,0,
29866.546875,89,0,
23441.40234375,91,0,
20467.623046875,93,0,
22066.9375,95,0,
25279.193359375,97,0,
21872.83984375,99,0,
21991.958984375,101,0,
26661.03515625,103,0,
18641.79296875,105,0,
21725.2421875,107,0,
22483.220703125,109,0,
21078.7265625,111,0,
25575.9609375,113,0,
22763.900390625,115,0,
23966.9609375,117,0,
19894.6640625,119,0,
21193.71484375,121,0,
23047.15234375,123,0,
22563.46484375,125,0,
18769.34765625,127,0,
25562.68359375,129,0,
24692.28125,131,0,
22795.01953125,133,0,
18495.0546875,135,0,
18386.068359375,137,0,
17250.1875,139,0,
18888.93359375,141,0,
21485.9765625,143,0,
23635.26171875,145,0,
21186.78515625,147,0,
23687.9375,149,0,
25855.5234375,151,0,
23102.787109375,153,0,
23090.609375,155,0,
20722.646484375,157,0,
22712.451171875,159,0,
20164.93359375,161,0,
22819.607421875,163,0,
25936.888671875,165,0,
20154.015625,167,0,
24352.341796875,169,0,
20340.82421875,171,0,
25697.693359375,173,0,
21634.755859375,175,0,
21572.3359375,177,0,
33651.0703125,179,0,
20592.220703125,181,0,
22059.62109375,183,0,
20239.576171875,185,0,
17972.84375,187,0,
20569.013671875,189,0,
21286.5390625,191,0,
20150.423828125,193,0,
20185.765625,195,0,
21281.287109375,197,0,
20242.9375,199,0,
20963.68359375,201,0,
20034.236328125,203,0,
21734.421875,205,0,
22476.236328125,207,0,
19054.439453125,209,0,
22112.70703125,211,0,
20789.751953125,213,0,
19090.15234375,215,0,
18169.63671875,217,0,
20860.01953125,219,0,
21538.6484375,221,0,
21137.1328125,223,0,
22122.16015625,225,0,
25097.62109375,227,0,
19775.966796875,229,0,
19856.82421875,231,0,
18531.912109375,233,0,
17926.275390625,235,0,
25556.87890625,237,0,
19126.01953125,239,0,
20205.98046875,241,0,
21339.4453125,243,0,
20730.23828125,245,0,
19621.07421875,247,0,
15776.7177734375,249,0,
19275.67578125,251,0,
19683.0703125,253,0,
21620.16015625,255,0,
24165.31640625,257,0,
24285.341796875,259,0,
17783.9375,261,0,
19288.71484375,263,0,
23943.828125,265,0,
19399.37109375,267,0,
20325.84375,269,0,
18249.05859375,271,0,
24069.36328125,273,0,
19970.91015625,275,0,
19323.2578125,277,0,
19230.9375,279,0,
21337.89453125,281,0,
18459.541015625,283,0,
18932.6640625,285,0,
22302.966796875,287,0,
18391.21875,289,0,
15354.9296875,291,0,
25800.5546875,293,0,
18495.390625,295,0,
18476.81640625,297,0,
17034.439453125,299,0,
21370.931640625,301,0,
19429.201171875,303,0,
17654.53515625,305,0,
18368.359375,307,0,
17205.3515625,309,0,
22658.126953125,311,0,
19503.392578125,313,0,
18636.66796875,315,0,
20143.115234375,317,0,
20226.513671875,319,0,
16137.3837890625,321,0,
19560.546875,323,0,
20004.359375,325,0,
17653.5859375,327,0,
20563.921875,329,0,
18750.470703125,331,0,
23954.005859375,333,0,
18230.81640625,335,0,
15848.5166015625,337,0,
17200.994140625,339,0,
20485.748046875,341,0,
17232.462890625,343,0,
19085.32421875,345,0,
17674.6484375,347,0,
18794.826171875,349,0,
18768.546875,351,0,
18368.22265625,353,0,
18863.9453125,355,0,
16673.576171875,357,0,
20328.875,359,0,
19517.84765625,361,0,
17633.10546875,363,0,
17828.95703125,365,0,
15235.9033203125,367,0,
15514.443359375,369,0,
13906.958984375,371,0,
15019.75390625,373,0,
15263.544921875,375,0,
15285.779296875,377,0,
13968.0146484375,379,0,
