step,train_loss,epoch,val_loss,tst_loss
1,94045.765625,0,,
3,86280.015625,0,,
5,96742.296875,0,,
7,82861.640625,0,,
9,77330.953125,0,,
11,87396.625,0,,
13,78808.265625,0,,
15,76375.015625,0,,
17,61246.109375,0,,
19,63332.8515625,0,,
21,57131.2265625,0,,
23,57574.7265625,0,,
25,54233.1171875,0,,
27,49225.765625,0,,
29,43982.59765625,0,,
31,40705.80078125,0,,
33,43548.140625,0,,
35,38275.37109375,0,,
37,36082.390625,0,,
39,37196.9609375,0,,
41,35425.1484375,0,,
43,35286.6953125,0,,
45,29924.8046875,0,,
47,31842.484375,0,,
49,29552.140625,0,,
51,30508.13671875,0,,
53,29607.2421875,0,,
55,27104.85546875,0,,
57,31089.423828125,0,,
59,27669.923828125,0,,
61,24584.994140625,0,,
63,28306.212890625,0,,
65,28094.58203125,0,,
67,28412.3671875,0,,
69,25687.228515625,0,,
71,27387.939453125,0,,
73,26665.912109375,0,,
75,23963.0625,0,,
77,26438.12109375,0,,
79,26592.197265625,0,,
81,26070.533203125,0,,
83,27304.287109375,0,,
85,25300.068359375,0,,
87,23524.544921875,0,,
89,30282.640625,0,,
91,25633.18359375,0,,
93,22556.4140625,0,,
95,24132.1171875,0,,
97,25466.90234375,0,,
99,24061.96484375,0,,
101,23745.876953125,0,,
103,28013.9296875,0,,
105,19957.404296875,0,,
107,23157.728515625,0,,
109,23745.62109375,0,,
111,22204.5390625,0,,
113,26332.48828125,0,,
115,23690.421875,0,,
117,25062.923828125,0,,
119,20737.5234375,0,,
121,21840.7109375,0,,
123,23074.109375,0,,
125,23011.1796875,0,,
127,19619.9375,0,,
129,25813.96875,0,,
131,25268.361328125,0,,
133,22774.080078125,0,,
135,19251.126953125,0,,
137,19256.36328125,0,,
139,17815.2890625,0,,
141,19516.42578125,0,,
143,21860.41796875,0,,
145,23812.390625,0,,
147,22182.537109375,0,,
149,24104.986328125,0,,
151,25319.51953125,0,,
153,23249.736328125,0,,
155,23431.236328125,0,,
157,21283.353515625,0,,
159,23295.099609375,0,,
161,20802.224609375,0,,
163,22608.615234375,0,,
165,26209.09765625,0,,
167,20176.5703125,0,,
169,23485.80078125,0,,
171,21154.89453125,0,,
173,26530.13671875,0,,
175,20040.384765625,0,,
177,21367.966796875,0,,
179,33911.90625,0,,
181,20664.9765625,0,,
183,22531.1328125,0,,
185,20523.1015625,0,,
187,18528.068359375,0,,
189,21061.681640625,0,,
191,21749.580078125,0,,
193,20320.087890625,0,,
195,20744.396484375,0,,
197,21172.1328125,0,,
199,20651.95703125,0,,
201,21093.548828125,0,,
203,19794.921875,0,,
205,21455.46875,0,,
207,22472.328125,0,,
209,19351.37890625,0,,
211,22415.0234375,0,,
213,20826.74609375,0,,
215,18836.439453125,0,,
217,18106.55859375,0,,
219,21435.58203125,0,,
221,21943.859375,0,,
223,21509.607421875,0,,
225,22497.908203125,0,,
227,25135.849609375,0,,
229,19806.955078125,0,,
231,20025.671875,0,,
233,18851.466796875,0,,
235,18225.2265625,0,,
237,25307.375,0,,
239,19455.318359375,0,,
241,20618.611328125,0,,
243,21473.43359375,0,,
245,20153.8046875,0,,
247,20489.77734375,0,,
249,15965.033203125,0,,
251,19791.513671875,0,,
253,19657.62890625,0,,
255,21867.77734375,0,,
257,23104.28515625,0,,
259,24522.06640625,0,,
261,16985.33203125,0,,
263,19136.41796875,0,,
265,24810.55859375,0,,
267,19827.97265625,0,,
269,20977.42578125,0,,
271,19101.52734375,0,,
273,24427.94140625,0,,
275,20107.2578125,0,,
277,20039.982421875,0,,
279,20114.42578125,0,,
281,21907.90234375,0,,
283,19206.57421875,0,,
285,19887.82421875,0,,
287,22992.111328125,0,,
289,19121.0625,0,,
291,15894.7099609375,0,,
293,26013.552734375,0,,
295,18108.14453125,0,,
297,18683.123046875,0,,
299,17591.93359375,0,,
301,21355.9453125,0,,
303,20095.671875,0,,
305,18216.291015625,0,,
307,19184.22265625,0,,
309,18511.03125,0,,
311,23472.130859375,0,,
313,20634.748046875,0,,
315,17936.77734375,0,,
317,21053.765625,0,,
319,21668.974609375,0,,
321,17400.251953125,0,,
323,21022.8984375,0,,
325,21583.9453125,0,,
327,17038.1953125,0,,
329,21416.19921875,0,,
331,20125.96484375,0,,
333,25136.43359375,0,,
335,19200.6875,0,,
337,16917.234375,0,,
339,18465.115234375,0,,
341,21306.1953125,0,,
343,18398.3984375,0,,
345,20308.755859375,0,,
347,18996.48828125,0,,
349,19783.841796875,0,,
351,19462.30859375,0,,
353,19937.462890625,0,,
355,19716.3828125,0,,
357,18105.712890625,0,,
359,21711.80859375,0,,
361,21126.1640625,0,,
363,19941.953125,0,,
365,19924.28125,0,,
367,17597.515625,0,,
369,18952.13671875,0,,
371,19041.2265625,0,,
373,21631.609375,0,,
375,18726.75390625,0,,
377,20569.619140625,0,,
379,17037.970703125,0,,
381,21191.31640625,0,,
383,21694.203125,0,,
385,22092.44921875,0,,
386,,0,19244.40625,
387,19860.1328125,1,,
389,21412.6953125,1,,
391,19591.083984375,1,,
393,23415.265625,1,,
395,20640.685546875,1,,
397,18982.369140625,1,,
399,16996.994140625,1,,
401,16554.546875,1,,
403,17026.6015625,1,,
405,18848.44140625,1,,
407,20604.58203125,1,,
409,20448.26953125,1,,
411,20644.609375,1,,
413,18005.82421875,1,,
415,17441.130859375,1,,
417,17625.935546875,1,,
419,22438.23828125,1,,
421,22338.287109375,1,,
423,19175.73828125,1,,
425,17431.279296875,1,,
427,18798.267578125,1,,
429,16657.26953125,1,,
431,19284.0703125,1,,
433,19201.296875,1,,
435,19275.87890625,1,,
437,22319.8515625,1,,
439,16371.3916015625,1,,
441,22409.11328125,1,,
443,20524.939453125,1,,
445,18828.46484375,1,,
447,19885.3515625,1,,
449,16907.4921875,1,,
451,23789.94140625,1,,
453,21932.60546875,1,,
455,18444.859375,1,,
457,20905.453125,1,,
459,19725.75390625,1,,
461,16702.0859375,1,,
463,19076.33203125,1,,
465,16170.65625,1,,
467,21801.23046875,1,,
469,18749.0234375,1,,
471,21708.1015625,1,,
473,17012.791015625,1,,
475,16432.8984375,1,,
477,14801.494140625,1,,
479,21170.07421875,1,,
481,17076.720703125,1,,
483,17378.533203125,1,,
485,22526.201171875,1,,
487,17972.03515625,1,,
489,19234.28515625,1,,
491,21858.65234375,1,,
493,19650.806640625,1,,
495,16319.1630859375,1,,
497,16065.658203125,1,,
499,18386.7421875,1,,
501,18437.59375,1,,
